Row Labels,AIR 21 B1A B3P,AIR 3227 B78W,AIR 6449 B78W,Radio 2219 B8,Radio 4402 B3,Radio 4422 B78Q,Radio 4429 B3,Radio 4499 44B1 44B3 C,Radio 4499 44B3 44B7 C,RRUS 01 B1,RRUS 01 B3,RRUS 0Z B1,RRUS 0Z B3,RRUS 12 B3,RRUW B1,RUS 01 B1,RUS 01 B3,RUS 02 B3,B1,B3,B8,B20,B1+B8,B1+B20,B8+B3,B3 + B20,B1+B8+B20,B1+B20+B3,B1+B8+B3,B20+B8+B3
0166M,,,,,,,,,3,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0167M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0169I,,,,,,,,,,,,,,,,1,,,1,0,0,0,0,0,0,0,0,0,0,0
0169M,,3,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0170M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0172U,,,,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0173U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0174U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0176U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0177U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0178U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0179U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0180U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0181U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0182U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0185U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0186U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0188U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0189U,,,,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
0195M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0196M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0197M,,,,,,,,,,,5,,,,3,,,,3,5,0,0,0,0,0,0,0,0,0,0
0198M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0199M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0200M,,,,,,,,,,3,,,,,,,6,,3,6,0,0,0,0,0,0,0,0,0,0
0201M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0202M,,,,,,,,,,,,,,,,3,6,,3,6,0,0,0,0,0,0,0,0,0,0
0203M,,,,,,,3,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0204M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0205M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0206M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0207M,,,,,,,,,,1,,,,3,2,,,,3,3,0,0,0,0,0,0,0,0,0,0
0208M,,,,,,,3,,,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0209M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0210M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0211M,,,,,,,,,,3,6,,,,,,,,3,6,0,0,0,0,0,0,0,0,0,0
0212M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0214M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0215M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0216M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0217M,,,,,,,3,,,,,,,,3,,,,3,0,0,0,0,0,0,0,0,0,0,0
0218M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0219M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0220M,,,,,,,,,,3,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0
0221M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0222M,,,,,,,,,,,,,,3,,,,,0,3,0,0,0,0,0,0,0,0,0,0
0223M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0224M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0225M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0226M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0227M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0228M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0229M,,,,,,,,,,,,,,,,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0
0230M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0232M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0233M,,,,,,,,,,,,,,3,3,,,,3,3,0,0,0,0,0,0,0,0,0,0
0234M,,,,,,,,,,,,,,,,3,3,,3,3,0,0,0,0,0,0,0,0,0,0
0235M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0236M,,,,,,,,,,,,,,3,,3,,,3,3,0,0,0,0,0,0,0,0,0,0
0237M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0238M,,,,,,,,,,3,,,,3,,,,,3,3,0,0,0,0,0,0,0,0,0,0
0239M,,,,,,,2,,,3,,,,1,,,,,3,1,0,0,0,0,0,0,0,0,0,0
